PLAZO;PRESTAMOS_ANTERIORES;SCORE_VERAZ;ESTADO_CIVIL;DEUDA_SIST_FIN;INGRESOS_PERSONALES;dias_mora
28;8;763.0;Soltero;73778.10283999999;129548.1009;0
24;2;723.0;Soltero;61172.85634;130190.5265;0
48;1;547.0;Soltero;36027.15123;148683.4813;0
48;1;588.0;Soltero;63692.167010000005;103845.9245;0
48;3;716.0;Soltero;122593.0259;144173.7509;0
44;3;909.0;Soltero;42097.263960000004;117480.7366;0
24;2;589.0;Soltero;79474.54416;202131.7886;0
36;1;801.0;Soltero;96500.03688;153588.6473;0
45;7;447.0;Soltero;31915.60012;225171.4119;0
12;2;;Soltero;19278.21257;83455.46568;0
41;5;338.0;;19266.67111;141326.9678;0
15;9;923.0;Soltero;643427.2097;397777.5029;0
36;2;507.0;Soltero;71577.75284;99122.32084;0
27;2;748.0;CASADO;36707.11746;136966.8562;0
24;1;811.0;CASADO;24126.08427;139726.3568;0
18;1;634.0;Soltero;42603.53598;240181.0082;0
24;1;557.0;CASADO;79984.80152000001;137060.8594;0
24;5;828.0;Soltero;47413.810410000006;169534.6462;0
48;1;;Soltero;34663.080239999996;117723.6688;0
24;1;399.0;CASADO;157397.0083;417277.3284;0
24;7;474.0;CASADO;10957.3485;87658.78797;0
48;1;640.0;CASADO;84252.20461;155273.9649;0
48;2;628.0;CASADO;90611.62677999999;146249.677;0
12;6;492.0;CASADO;30838.69336;93984.5893;0
48;1;429.0;DIVORCIADO;75008.9101;171557.863;0
10;9;;Soltero;45536.169089999996;217461.777;0
48;1;475.0;Soltero;39682.28533;65205.63317000001;0
48;2;;Soltero;57957.980110000004;135235.2869;0
12;1;751.0;Soltero;65652.77974;63917.86622999999;0
12;3;712.0;Soltero;28782.780469999998;107286.3457;0
47;2;791.0;Soltero;70200.0;100000.0;0
24;1;696.0;Soltero;29736.69625;61951.450520000006;0
36;1;850.0;Soltero;78071.10803999999;79532.08784;0
14;2;632.0;Soltero;75980.6014;358268.4394;0
24;1;613.0;Soltero;35480.69086;145384.2943;0
46;1;;CASADO;75500.0;80000.0;0
24;1;748.0;CASADO;22532.975730000002;216984.2108;0
25;1;700.0;CASADO;39987.813930000004;287259.398;0
48;5;634.0;Soltero;33731.217189999996;136012.9725;0
48;3;661.0;DIVORCIADO;58163.91042000001;123753.0009;0
38;2;862.0;CASADO;159818.1612;254577.6019;0
6;6;673.0;Soltero;108967.4097;131385.6626;0
12;1;831.0;CASADO;45065.95147;116837.65199999999;0
28;3;706.0;Soltero;26552.76678;225101.31;0
24;1;869.0;Soltero;64333.35792;144894.9503;0
24;1;;;24934.52706;69489.66558;0
24;3;;CASADO;156468.38;228133.2869;0
36;2;612.0;CASADO;263710.2107;276058.2946;0
39;1;803.0;Soltero;26518.50019;119333.2509;0
36;2;;Soltero;31282.98368;122593.0259;0
48;1;926.0;;197288.7209;325476.3162;0
36;1;889.0;Soltero;76350.68923999999;50532.94715;0
36;1;;CASADO;58585.73691;120175.8706;0
24;2;794.0;CASADO;37802.85231;118704.6087;0
13;1;810.0;Soltero;43755.52532;90162.90065;0
24;1;566.0;Soltero;112346.7153;81607.78352000001;0
24;1;936.0;Soltero;34406.88252;133433.8934;0
12;2;816.0;CASADO;43663.673780000005;1019959.923;0
48;3;649.0;DIVORCIADO;55330.97375;250366.397;0
48;3;680.0;CASADO;152787.9058;235755.8191;0
25;1;933.0;CASADO;36270.12601;90675.31503;0
24;4;794.0;CASADO;164941.9434;173076.5408;0
48;3;;Soltero;55101.0;120000.0;0
48;1;938.0;Soltero;61876.50045;213915.9016;0
10;7;786.0;Soltero;17512.37005;91287.88644;0
36;1;897.0;Soltero;49084.6108;79297.85667000001;0
36;2;340.0;CASADO;93308.41548;160120.6721;0
48;4;714.0;CASADO;110995.7694;229502.5306;0
36;4;862.0;CASADO;141290.1034;242020.8505;0
11;2;820.0;Soltero;19482.22216;63635.399000000005;0
10;1;;Soltero;44925.12884;59169.68188;0
18;4;694.0;CASADO;300995.11;200920.9977;0
36;2;;CASADO;70243.4139;171557.863;0
48;10;551.0;Soltero;62295.44138;155329.8407;0
48;1;603.0;Soltero;55644.107860000004;67499.8509;0
36;2;581.0;CASADO;121370.9513;38688.943119999996;0
13;1;;CASADO;35359.98176;55756.30547000001;0
